Language,	English,	French
STR_WC_TEAM0,	"Mercenary",	"Mercenaire"
STR_WC_TEAM1,	"Hero team",	"Heroe team"
STR_WC_TEAM2,	"Elite team",	"Elite team"
STR_WC_TEAM3,	"Experienced team",	"Experienced team"
STR_WC_TEAM4,	"Confirmed team",	"Confirmed team"
STR_WC_TEAM5,	"Noob team",	"Noobs team"
STR_WC_TEAM6,	"Calamity team",	"Calamity team"
STR_WC_TEAM7,	"Bastard team",	"Bastard team"
STR_WC_TEAM8,	"Asshole team",	"Asshole team"
STR_WC_ASSHOLETEAM,	"A rating of 'Asshole Team' means that the players are not cooperating. They do what they want and cause far too much random damage. Be aware this rating may have been caused by team killing, or the team is losing extremly badly.",	"Asshole team signifie que cette partie n est pas cooperative. Les joueurs font ce qu ils veulent et certainement pas ce qu il faut. Ils detruisent tout ce qu ils voient. Vous devriez vous deconnecter de ce serveur car il y a certainement plein de team killers"
STR_WC_BASTARDTEAM,	"A rating of 'Bastard Team' means that the team is not performing successfully or have been extremely unlucky. Players are most likely working as individuals rather than a team. They may have won a few points that way but this is a team mission, so they are losing.",	"Bastard team signifie que les actions des joueurs sont stupides. Les joueurs font ce qu ils veulent et meme si ca n est pas vraiment une equipe ils gagnent des points"
STR_WC_CALAMITYTEAM,	"A rating of 'Calamity Team' means that the team is either disfunctional or unlucky. Players respawn in base too often, rush to objectives, or make bad strategic choices.",	"Calamity team signifie que les actions de l'equipe sont peines perdues. Les joueurs respawnent souvent a la base, rush sur les objectifs, ou on une mauvaise strategie d equipe"
STR_WC_NOOBTEAM,	"A rating of 'Noob Team' is the rating for starting teams who have only just begun the mission. It is important you work together as a team and think strategically and tactically. Follow the orders of the team leader.",	"Noob team signifie que la team commence le jeu ou essaie de se maintenir au niveau. Essayez de suivre les actions de l'equipe, et de soutenir les actions de groupe pour atteindre le rang au dessus."
STR_WC_CONFIRMEDTEAM,	"A rating of 'Confirmed Team' indicates a team that has had some success and tries hard to complete the mission, and take strategic actions, but they still have a way to go to become experienced.",	"Les membres de l'equipe sont confirmes. Ils essaient de terminer la mission, font des actions strategiques, mais doivent s entrainer pour atteindre un rang superieur."
STR_WC_EXPERIENCEDTEAM,	"Members of an 'Experienced Team' play well together as a unit. They complete the missions, but experienced is not yet elite, so they can still improve.",	"Les membres de l'equipe jouent ensemble et bien. Ils terminent les missions, mais ne tuent pas assez d enemis pour etre une grande equipe."
STR_WC_ELITETEAM,	"Members of an 'Elite Team' are a tight-knit unit operating with a high level of skill and co-ordination. If you have achieved this level, your team is very good.",	"Les membres de l'equipe sont des elites. Ils jouent ensemble et ont un tres haut niveau. Si vous avez ce niveau, votre equipe est tres bonne."
STR_WC_HEROETEAM,	"Members of a 'Hero Team' are probably one of the best teams of the Arma community. There aren't many teams with this level of skill out there!",	"Les membres de l'equipe sont des heros. Votre equipe est l une des meilleurs de la communaute arma. Il y a peu d equipes qui ont votre niveau!"
STR_WC_TRANSFERTPOINT,	"You have to transfer %1 points to other players!",	"Vous devez transferer %1 points aux autres joueurs!"
STR_WC_SHAREPOINTS,	"Give somes points to others players through the mission info menu when you think they do a good job.",	"Distribuez des points aux autres joueurs via le menu mission info quand vous pensez qu ils ont bien joue."
STR_WC_MISSION0,	"A nuclear SCUD launcher has been detected in enemy territory. Destroy it.",	"Un lanceur de scud a ete detecte en territoire enemi. Detruisez le."
STR_WC_MISSION1,	"A gold trafficker is running his smuggling operation through this location. Intel indicates he runs his operation with virtual slave labour all with the tacit support of the enemy. Eliminate him",	"Un trafficant est connu pour cooperer avec l'enemi en lui reversant des contributions. Cet homme emploi de nombreux ouvriers dans la region, et a tout leur soutien. Vous devez l'eliminer."
STR_WC_MISSION2,	"The enemy are employing a famous Russian scientist to work on a secret project. Intel indicates that it could be a nuclear bomb. Intel indicates that during this week, the scientist is staying at a house in this area. Eliminate him.",	"Un scientifique renome travaille sur un projet secret. Durant cette semaine, ce scientifique est en deplacement dans cette maison. Eliminez le."
STR_WC_MISSION3,	"Intel reports an enemy special forces camp at the marked position. Intel indicates that the special forces like nothing better than getting drunk and harrassing the local civilians. Put a stop to their partying and destroy their barracks.",	"Nous avons localises des barraquements des forces speciales enemies. Comme ces hommes aiment boire, ils ont causes des histoires dans les villages alentours.  Detruisez les baraquements."
